form	pos	lemma
ende	CONJ(type=coor)	en
die	PD(type=d-p,subtype=art,position=prenom)	die
beste	AA(degree=sup,position=prenom)	goed
steen	NOU-C(number=sg)	steen
daer	ADV(type=pron)	daar
die	PD(type=d-p,subtype=art,position=prenom)	die
werelt	NOU-C(number=sg)	wereld
by	ADV(type=pron)	bij
staet	VRB(finiteness=fin,tense=pres)	staan
liede	NOU-C(number=pl)	lieden
die	PD(type=d-p,position=free)	die
de	PD(type=d-p,subtype=art,position=prenom)	de
sonden	NOU-C(number=pl)	zonde
lieten	VRB(finiteness=fin,tense=past)	laten
omme	ADP(type=pre)	om
gode	NOU-P	God
240	NUM(type=card,position=postnom,representation=dig)	240
sal	VRB(finiteness=fin,tense=pres)	zullen
een	PD(type=indef,subtype=art,position=prenom)	een
mensche	NOU-C(number=sg)	mens
gheloven	VRB(finiteness=inf)	geloven
wat	PD(type=w-p,position=free)	wat
hy	PD(type=pers,position=free)	hij
peist	VRB(finiteness=fin,tense=pres)	peinzen
vanden	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	van+de
lieden	NOU-C(number=pl)	lieden
267	NUM(type=card,position=postnom,representation=dig)	267
van	ADP(type=pre)	van
wat	PD(type=w-p,position=prenom)	wat
dingen	NOU-C(number=pl)	ding
compt	VRB(finiteness=fin,tense=pres)	komen
bliscap	NOU-C(number=sg)	blijdschap
sy	PD(type=pers,position=free)	zij
verloren	VRB(finiteness=pastpart)	verliezen
soe	ADV(type=reg)	zo
behouden	VRB(finiteness=fin,tense=pres)	behouden
296	NUM(type=card,position=postnom,representation=dig)	296
doen	CONJ(type=sub)	toen
adam	NOU-P	Adam
ghinc	VRB(finiteness=fin,tense=past)	gaan
uten	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	uit+dat
paradise	NOU-C(number=sg)	paradijs
vant	VRB(finiteness=fin,tense=past)	vinden
hy	PD(type=pers,position=free)	hij
te	ADV(type=reg)	te
hant	ADV(type=reg)	hand
vrucht	NOU-C(number=sg)	vrucht
by	VRB(finiteness=inf)	zijn
te	ADP(type=pre)	te
levene	NOU-C(number=sg)	leven
hoe	ADV(type=reg)	hoe
mach	VRB(finiteness=fin,tense=pres)	mogen
hy	PD(type=pers,position=free)	hij
dijs	PD(type=pers,position=free)	du
ontgaen	VRB(finiteness=inf)	ontgaan
323	NUM(type=card,position=postnom,representation=dig)	323
sal	VRB(finiteness=fin,tense=pres)	zullen
de	PD(type=d-p,subtype=art,position=prenom)	de
mensche	NOU-C(number=sg)	mens
spelen	VRB(finiteness=inf)	spelen
enich	PD(type=indef,subtype=oth,position=prenom)	enig
spel	NOU-C(number=sg)	spel
met	ADP(type=pre)	met
sinen	PD(type=poss,position=prenom)	zijn
vrint	NOU-C(number=sg)	vriend
ende	CONJ(type=coor)	en
ghevoet	VRB(finiteness=pastpart)	voeden
353	NUM(type=card,position=postnom,representation=dig)	353
die	PD(type=d-p,subtype=art,position=prenom)	die
duvele	NOU-C(number=sg)	duivel
hebben	VRB(finiteness=fin,tense=pres)	hebben
sy	PD(type=pers,position=free)	zij
altoes	ADV(type=reg)	altoos
pine	NOU-C(number=sg)	pijn
ende	CONJ(type=coor)	en
verstaet	VRB(finiteness=fin,tense=pres)	verstaan
deen	PD(type=d-p,subtype=art,position=prenom)+NUM(type=card,position=free,representation=let)	de+een
den	PD(type=d-p,subtype=art,position=prenom)	de
anderen	PD(type=indef,position=free)	ander
385	NUM(type=card,position=postnom,representation=dig)	385
sal	VRB(finiteness=fin,tense=pres)	zullen
elc	PD(type=indef,position=free)	elk
goet	AA(degree=pos,position=free)	goed
ende	CONJ(type=coor)	en
quaet	AA(degree=pos,position=free)	kwaad
mogen	VRB(finiteness=inf)	mogen
maken	VRB(finiteness=inf)	maken
den	PD(type=d-p,subtype=art,position=prenom)	de
lichame	NOU-C(number=sg)	lichaam
des	PD(type=d-p,subtype=art,position=prenom)	de
vrays	NOU-C(number=sg)	freis
propheten	NOU-C(number=sg)	profeet
werelt	NOU-C(number=sg)	wereld
dan	ADV(type=reg)	dan
zere	ADV(type=reg)	zeer
ghemenichfuldicht	VRB(finiteness=pastpart)	menigvoudigen
werden	VRB(finiteness=inf)	worden
van	ADP(type=pre)	van
lieden	NOU-C(number=pl)	lieden
414	NUM(type=card,position=postnom,representation=dig)	414
wat	PD(type=w-p,position=prenom)	wat
lichamen	NOU-C(number=pl)	lichaam
selen	VRB(finiteness=fin,tense=pres)	zullen
dan	ADV(type=reg)	dan
hebben	VRB(finiteness=fin,tense=pres)	hebben
die	PD(type=d-p,subtype=art,position=prenom)	die
goede	AA(degree=pos,position=prenom)	goed
menschen	NOU-C(number=pl)	mens
wat	PD(type=w-p,position=free)	wat
bliscapen	VRB(finiteness=inf)	blijdschappen
selen	VRB(finiteness=fin,tense=pres)	zullen
die	PD(type=d-p,subtype=art,position=prenom)	die
goede	AA(degree=pos,position=prenom)	goed
hebben	VRB(finiteness=inf)	hebben
die	PD(type=d-p,subtype=art,position=prenom)	die
voersienicheit	NOU-C(number=sg)	voorzienigheid
ons	PD(type=poss,position=prenom)	ons
heren	NOU-C(number=sg)	heer
des	PD(type=d-p,subtype=art,position=prenom)	de
vaders	NOU-C(number=sg)	vader
almechtich	AA(degree=pos,position=free)	almachtig
heeft	VRB(finiteness=fin,tense=pres)	hebben
geweest	VRB(finiteness=pastpart)	zijn
vanden	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	van+de
beghinne	NOU-C(number=sg)	begin
der	PD(type=d-p,subtype=art,position=prenom)	de
werelt	NOU-C(number=sg)	wereld
ende	CONJ(type=coor)	en
sy	PD(type=pers,position=free)	zij
sal	VRB(finiteness=fin,tense=pres)	zullen
sijn	VRB(finiteness=inf)	zijn
sonder	ADP(type=pre)	zonder
inde	NOU-C(number=sg)	einde
van	ADP(type=pre)	van
te	ADP(type=pre)	te
houdene	VRB(finiteness=inf)	houden
ende	CONJ(type=coor)	en
van	ADP(type=pre)	van
te	ADP(type=pre)	te
behoudene	VRB(finiteness=inf)	behouden
alle	PD(type=indef,subtype=oth,position=prenom)	al
redelike	AA(degree=pos,position=prenom)	redelijk
creatueren	NOU-C(number=pl)	creatuur
den	PD(type=d-p,position=free)	de
welken	PD(type=w-p,position=free)	welk
hy	PD(type=pers,position=free)	hij
willecorde	VRB(finiteness=fin,tense=past)	willekeuren
te	ADP(type=pre)	te
ghevene	VRB(finiteness=inf)	geven
sijn	PD(type=poss,position=prenom)	zijn
hemelrike	NOU-C(number=sg)	hemelrijk
en	ADV(type=reg)	ne
ware	VRB(finiteness=fin,tense=past)	zijn
dat	PD(type=d-p,position=free)	dat
bleve	VRB(finiteness=fin,tense=past)	blijven
aen	ADP(type=pre)	aan
hem	PD(type=refl,position=free)	hij
selven	PD(type=d-p,position=free)	zelf
ende	CONJ(type=coor)	en
woude	VRB(finiteness=fin,tense=past)	willen
storten	VRB(finiteness=inf)	storten
sijn	PD(type=poss,position=prenom)	zijn
heilich	AA(degree=pos,position=prenom)	heilig
bloet	NOU-C(number=sg)	bloed
sine	PD(type=poss,position=prenom)	zijn
gracie	NOU-C(number=sg)	gratie
ende	CONJ(type=coor)	en
sine	PD(type=poss,position=prenom)	zijn
ontfermicheit	NOU-C(number=sg)	ontfermigheid
over	ADP(type=pre)	over
al	PD(type=indef,position=free)	al
de	PD(type=d-p,subtype=art,position=prenom)	de
werelt	NOU-C(number=sg)	wereld
waer	ADV(type=pron)	waar
by	ADV(type=pron)	bij
dat	CONJ(type=sub)	dat
al	PD(type=indef,position=free)	al
die	PD(type=d-p,position=free)	die
liede	NOU-C(number=pl)	lieden
souden	VRB(finiteness=fin,tense=past)	zullen
weten	VRB(finiteness=inf)	weten
te	ADP(type=pre)	te
comene	VRB(finiteness=inf)	komen
van	ADP(type=pre)	van
deser	PD(type=d-p,subtype=oth,position=prenom)	deze
werelt	NOU-C(number=sg)	wereld
ende	CONJ(type=coor)	en
comen	VRB(finiteness=inf)	komen
mochten	VRB(finiteness=fin,tense=past)	mogen
ter	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	ter
glorien	NOU-C(number=sg)	glorie
die	PD(type=d-p,position=free)	die
nemmermeer	ADV(type=reg)	nimmermeer
ghebreken	VRB(finiteness=inf)	gebreken
en	ADV(type=reg)	ne
sal	VRB(finiteness=fin,tense=pres)	zullen
dontfermicheit	NOU-C(number=sg)	dontfermigheid
goids	NOU-P	God
was	VRB(finiteness=fin,tense=past)	zijn
datti	CONJ(type=sub)+PD(type=pers,position=free)	dat+gij
sette	VRB(finiteness=fin,tense=past)	zetten
die	PD(type=d-p,subtype=art,position=prenom)	die
heyleghe	AA(degree=pos,position=prenom)	heilig
patriarken	NOU-C(number=pl)	patriarch
die	PD(type=d-p,position=free)	die
waren	VRB(finiteness=fin,tense=past)	zijn
vanden	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	van+de
tide	NOU-C(number=sg)	tijd
adams	NOU-P	Adam
toten	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	tot+de
tide	NOU-C(number=sg)	tijd
moyses	NOU-P	Mozes
die	PD(type=d-p,position=free)	die
bewijsden	VRB(finiteness=fin,tense=past)	bewijzen
den	PD(type=d-p,subtype=art,position=prenom)	de
volke	NOU-C(number=sg)	volk
te	ADP(type=pre)	te
levene	VRB(finiteness=inf)	leven
na	ADP(type=pre)	na
hare	PD(type=poss,position=prenom)	haar
usage	NOU-C(number=sg)	usage
ende	CONJ(type=coor)	en
die	PD(type=d-p,position=free)	die
ghene	PD(type=d-p,position=free)	gene
die	PD(type=d-p,position=free)	die
leefden	VRB(finiteness=fin,tense=past)	leven
na	ADP(type=pre)	na
hare	PD(type=poss,position=prenom)	haar
usage	NOU-C(number=sg)	usage
wet	VRB(finiteness=fin,tense=pres)	wetten
dat	CONJ(type=sub)	dat
sy	PD(type=pers,position=free)	zij
alsoe	ADV(type=reg)	alzo
wel	ADV(type=reg)	wel
behouden	VRB(finiteness=pastpart)	behouden
sijn	VRB(finiteness=fin,tense=pres)	zijn
alse	CONJ(type=sub)	als
die	PD(type=d-p,position=free)	die
ghene	PD(type=d-p,position=free)	gene
die	PD(type=d-p,position=free)	die
hem	PD(type=refl,position=free)	hij
te	ADP(type=pre)	te
levene	NOU-C(number=sg)	leven
wijsden	VRB(finiteness=fin,tense=past)	wijzen
ende	CONJ(type=coor)	en
de	PD(type=d-p,position=free)	de
ghene	PD(type=d-p,position=free)	gene
die	PD(type=d-p,position=free)	die
overgaen	VRB(finiteness=inf)	overgaan
selen	VRB(finiteness=fin,tense=pres)	zullen
de	PD(type=d-p,subtype=art,position=prenom)	de
gebode	NOU-C(number=sg)	gebod
goids	NOU-P	God
ende	CONJ(type=coor)	en
siere	PD(type=poss,position=prenom)	zijn
jongeren	NOU-C(number=pl)	jongere
die	PD(type=d-p,position=free)	die
doen	ADV(type=reg)	toen
waren	VRB(finiteness=fin,tense=past)	zijn
op	ADP(type=pre)	op
ten	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	ten
dach	NOU-C(number=sg)	dag
siere	PD(type=poss,position=prenom)	zijn
opverstannessen	NOU-C(number=pl)	opverstannis
selen	VRB(finiteness=fin,tense=pres)	zullen
alle	PD(type=indef,position=free)	al
woenen	VRB(finiteness=inf)	wonen
inder	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	in+de
hellen	NOU-C(number=sg)	hel
emmermeer	ADV(type=reg)	immermeer
ende	CONJ(type=coor)	en
en	ADV(type=reg)	ne
selen	VRB(finiteness=fin,tense=pres)	zullen
niet	ADV(type=reg)	niet
comen	VRB(finiteness=inf)	komen
inde	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	in+de
gheselscap	NOU-C(number=sg)	gezelschap
des	PD(type=d-p,subtype=art,position=prenom)	de
gods	NOU-P	God
soens	NOU-C(number=pl)	zoens
omme	CONJ(type=sub)	om
dat	CONJ(type=sub)	dat
sy	PD(type=pers,position=free)	zij
versmaden	VRB(finiteness=fin,tense=pres)	versmaden
sijn	VRB(finiteness=fin,tense=pres)	zijn
gebot	NOU-C(number=sg)	gebod
ende	CONJ(type=coor)	en
wet	VRB(finiteness=fin,tense=pres)	wetten
dat	CONJ(type=sub)	dat
dat	PD(type=d-p,subtype=art,position=prenom)	dat
ordeel	NOU-C(number=sg)	oordeel
ons	PD(type=poss,position=prenom)	ons
heren	NOU-C(number=sg)	heer
vander	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	van+de
diluvien	NOU-C(number=sg)	déluvie
die	PD(type=d-p,position=free)	die
quam	VRB(finiteness=fin,tense=past)	komen
op	ADP(type=pre)	op
eerterike	NOU-C(number=sg)	aardrijk
om	ADP(type=pre)	om
ander	PD(type=indef,subtype=oth,position=prenom)	ander
dinc	NOU-C(number=sg)	ding
en	ADV(type=reg)	ne
was	VRB(finiteness=fin,tense=past)	zijn
dan	CONJ(type=sub)	dan
omme	ADP(type=pre)	om
die	PD(type=d-p,subtype=art,position=prenom)	die
overtullicheit	NOU-C(number=sg)	overtalligheid
vanden	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	van+de
sonden	NOU-C(number=pl)	zonde
die	PD(type=d-p,position=free)	die
doe	ADV(type=reg)	toen
was	VRB(finiteness=fin,tense=past)	zijn
op	ADP(type=pre)	op
eerterike	NOU-C(number=sg)	aardrijk
na	ADP(type=pre)	na
die	PD(type=d-p,subtype=art,position=prenom)	die
diluvie	NOU-C(number=sg)	diluvie
noe	NOU-P	Noach
ende	CONJ(type=coor)	en
sijn	PD(type=poss,position=prenom)	zijn
wijf	NOU-C(number=sg)	wijf
ende	CONJ(type=coor)	en
sine	PD(type=poss,position=prenom)	zijn
sonen	NOU-C(number=pl)	zoon
ende	CONJ(type=coor)	en
hare	PD(type=poss,position=prenom)	haar
wive	NOU-C(number=pl)	wijf
woenden	VRB(finiteness=fin,tense=past)	wonen
in	ADP(type=pre)	in
eerterike	NOU-C(number=sg)	aardrijk
ende	CONJ(type=coor)	en
begonsten	VRB(finiteness=fin,tense=past)	beginnen
te	ADP(type=pre)	te
doene	VRB(finiteness=inf)	doen
ende	CONJ(type=coor)	en
hem	PD(type=pers,position=free)	hij
te	ADP(type=pre)	te
settene	VRB(finiteness=inf)	zetten
na	ADP(type=pre)	na
den	PD(type=d-p,subtype=art,position=prenom)	de
wille	NOU-C(number=sg)	wil
goids	NOU-P	God
dat	PD(type=d-p,position=free)	dat
was	VRB(finiteness=fin,tense=past)	zijn
na	ADP(type=pre)	na
hare	PD(type=poss,position=prenom)	haar
goede	AA(degree=pos,position=prenom)	goed
usage	NOU-C(number=sg)	usage
ende	CONJ(type=coor)	en
god	NOU-P	God
benedidese	VRB(finiteness=fin,tense=past)	benedijen
ende	CONJ(type=coor)	en
gaf	VRB(finiteness=fin,tense=past)	geven
hem	PD(type=pers,position=free)	hij
die	PD(type=d-p,subtype=art,position=prenom)	die
benedictie	NOU-C(number=sg)	benedictie
van	ADP(type=pre)	van
wassene	NOU-C(number=sg)	wassen
ende	CONJ(type=coor)	en
van	ADP(type=pre)	van
menichfuldegene	NOU-C(number=sg)	menigvoudegen
het	PD(type=pers,position=free)	het
was	VRB(finiteness=fin,tense=past)	zijn
een	NUM(type=card,position=free,representation=let)	een
van	ADP(type=pre)	van
noes	NOU-P	Noach
sonen	NOU-C(number=pl)	zoon
die	PD(type=d-p,position=free)	die
hiet	VRB(finiteness=fin,tense=past)	heten
jafet	NOU-P	Jafet
die	PD(type=d-p,position=free)	die
van	ADP(type=pre)	van
gheslachte	NOU-C(number=sg)	geslacht
te	ADP(type=pre)	te
gheslachten	VRB(finiteness=inf)	geslachten
hy	PD(type=pers,position=free)	hij
ende	CONJ(type=coor)	en
die	PD(type=d-p,position=free)	die
na	ADP(type=pre)	na
hem	PD(type=pers,position=free)	hij
quamen	VRB(finiteness=fin,tense=past)	komen
hielden	VRB(finiteness=fin,tense=past)	houden
de	PD(type=d-p,subtype=art,position=prenom)	de
wet	NOU-C(number=sg)	wet
goids	NOU-P	God
alsoese	ADV(type=reg)	alzo+zij
hielt	VRB(finiteness=fin,tense=past)	hielen
noe	NOU-P	Noach
hare	PD(type=poss,position=prenom)	haar
vader	NOU-C(number=sg)	vader
ende	CONJ(type=coor)	en
god	NOU-P	God
omme	ADP(type=pre)	om
sine	PD(type=poss,position=prenom)	zijn
groote	AA(degree=pos,position=prenom)	groot
ontfermicheit	NOU-C(number=sg)	ontfermigheid
woude	VRB(finiteness=fin,tense=past)	willen
toenen	VRB(finiteness=inf)	toenen
die	PD(type=d-p,subtype=art,position=prenom)	die
groote	AA(degree=pos,position=prenom)	groot
minne	NOU-C(number=sg)	minne
die	PD(type=d-p,position=free)	die
hy	PD(type=pers,position=free)	hij
hadde	VRB(finiteness=fin,tense=past)	hebben
toten	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	tot+de
gheslachte	NOU-C(number=sg)	geslacht
jafet	NOU-P	Jafet
noes	NOU-P	Noach
sone	NOU-C(number=sg)	zoon
ende	CONJ(type=coor)	en
dede	VRB(finiteness=fin,tense=past)	doen
gheboren	AA(degree=pos,position=free)	geboren
werden	VRB(finiteness=inf)	worden
vanden	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	van+de
selven	PD(type=d-p,subtype=oth,position=prenom)	zelf
gheslachte	NOU-C(number=sg)	geslacht
enen	PD(type=indef,subtype=art,position=prenom)	een
man	NOU-C(number=sg)	man
die	PD(type=d-p,position=free)	die
hiet	VRB(finiteness=fin,tense=past)	heten
sidrac	NOU-P	Sidrac
den	PD(type=d-p,position=free)	de
welken	PD(type=w-p,position=free)	welk
hy	PD(type=pers,position=free)	hij
vervulde	VRB(finiteness=fin,tense=past)	vervullen
van	ADP(type=pre)	van
allen	PD(type=indef,position=free)	al
sciencien	NOU-C(number=sg)	sciëntie
van	ADP(type=pre)	van
wetene	NOU-C(number=sg)	weten
alle	PD(type=indef,subtype=oth,position=prenom)	al
dingen	NOU-C(number=pl)	ding
die	PD(type=d-p,position=free)	die
ghesciet	VRB(finiteness=pastpart)	geschieden
waren	VRB(finiteness=fin,tense=past)	zijn
van	ADP(type=pre)	van
beginne	NOU-C(number=sg)	begin
der	PD(type=d-p,subtype=art,position=prenom)	de
werelt	NOU-C(number=sg)	wereld
tote	ADP(type=pre)	tot
sinen	PD(type=poss,position=prenom)	zijn
tide	NOU-C(number=sg)	tijd
ende	CONJ(type=coor)	en
toten	ADP(type=pre)	tot
inde	NOU-C(number=sg)	einde
der	PD(type=d-p,subtype=art,position=prenom)	de
werelt	NOU-C(number=sg)	wereld
desen	PD(type=d-p,subtype=oth,position=prenom)	deze
selven	PD(type=d-p,subtype=oth,position=prenom)	zelf
sidracke	NOU-C(number=sg)	sidrak
gheweerdichde	VRB(finiteness=fin,tense=past)	gewaardigen
god	NOU-P	God
te	ADP(type=pre)	te
uertoenene	VRB(finiteness=inf)	vertoenen
mits	ADP(type=pre)	mits
siere	PD(type=poss,position=prenom)	zijn
gracien	NOU-C(number=sg)	gratie
die	PD(type=d-p,subtype=art,position=prenom)	die
vorme	NOU-C(number=sg)	vorm
ende	CONJ(type=coor)	en
siere	PD(type=poss,position=prenom)	zijn
drievoldicheit	NOU-C(number=sg)	drievuldigheid
waer	ADV(type=pron)	waar
by	ADV(type=pron)	bij
datti	CONJ(type=sub)+PD(type=pers,position=free)	dat+gij
boetscapere	NOU-C(number=sg)	boedschaper
was	VRB(finiteness=fin,tense=past)	zijn
daer	ADV(type=pron)	daar
ave	ADV(type=pron)	af
toten	ADP(type=pre)	tot
ghenen	PD(type=d-p,position=free)	gene
die	PD(type=d-p,position=free)	die
na	ADP(type=pre)	na
hem	PD(type=pers,position=free)	hij
comen	VRB(finiteness=inf)	komen
souden	VRB(finiteness=fin,tense=past)	zullen
dat	CONJ(type=sub)	dat
was	VRB(finiteness=fin,tense=past)	zijn
openbare	AA(degree=pos,position=free)	openbaar
datti	CONJ(type=sub)+PD(type=pers,position=free)	dat+gij
vertoende	VRB(finiteness=fin,tense=past)	vertonen
die	PD(type=d-p,subtype=art,position=prenom)	die
vorme	NOU-C(number=sg)	vorm
der	PD(type=d-p,subtype=art,position=prenom)	de
drievuldicheit	NOU-C(number=sg)	drievuldigheid
enen	PD(type=indef,subtype=art,position=prenom)	een
ongeloveghen	AA(degree=pos,position=prenom)	ongelovig
coninc	NOU-C(number=sg)	koning
die	PD(type=d-p,position=free)	die
hiet	VRB(finiteness=fin,tense=past)	heten
coninc	NOU-C(number=sg)	koning
bottus	NOU-P	Bottus
omme	ADP(type=pre)	om
hem	PD(type=refl,position=free)	hij
te	ADP(type=pre)	te
bekeerne	VRB(finiteness=inf)	bekeren
alsoe	ADV(type=reg)	alzo
bescreven	VRB(finiteness=pastpart)	beschrijven
es	VRB(finiteness=fin,tense=pres)	zijn
hier	ADV(type=pron)	hier
na	ADV(type=pron)	na
int	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	in+het
begin	NOU-C(number=sg)	begin
des	PD(type=d-p,subtype=art,position=prenom)	de
boecs	NOU-C(number=sg)	bok
ende	CONJ(type=coor)	en
hy	PD(type=pers,position=free)	hij
had	VRB(finiteness=fin,tense=past)	hebben
de	PD(type=d-p,subtype=art,position=prenom)	de
gracie	NOU-C(number=sg)	gratie
van	ADP(type=pre)	van
gode	NOU-P	God
datti	CONJ(type=sub)+PD(type=pers,position=free)	dat+gij
wiste	VRB(finiteness=fin,tense=past)	wissen
hoe	ADV(type=reg)	hoe
die	PD(type=d-p,subtype=art,position=prenom)	die
ix	NUM(type=ord,position=prenom,representation=rom)	negen
ordenen	NOU-C(number=pl)	orde
der	PD(type=d-p,subtype=art,position=prenom)	de
ingelen	NOU-C(number=pl)	engel
sijn	VRB(finiteness=inf)	zijn
souden	VRB(finiteness=fin,tense=past)	zullen
inden	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	in+de
hemele	NOU-C(number=sg)	hemel
ende	CONJ(type=coor)	en
waer	ADV(type=pron)	waar
af	ADV(type=pron)	af
elc	PD(type=indef,position=free)	elk
dient	VRB(finiteness=fin,tense=pres)	dienen
ende	CONJ(type=coor)	en
